sample_id,phase,worker,train_index,active_edge_ratio_by_turn,active_node_ratio_by_turn,candidate_provenance_coverage,recovery_subgraph_size,final_answer_source_type
mbpp:167,phase3a,1,11,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.875, 0.875, 0.875, 0.875, 0.875]",0.9375,0.0,stage1
mbpp:17,phase2,2,24,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.875, 0.875, 0.875, 0.875, 0.875]",1.0,0.0,sink_output
mbpp:17,phase3a,2,24,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,checker_approved_proposal
mbpp:174,phase2,1,5,"[0.8888888888888888, 0.7777777777777778, 0.7777777777777778, 0.6666666666666666, 0.6666666666666666]","[1.0, 1.0, 1.0, 1.0, 0.8333333333333334]",1.0,0.0,sink_output
mbpp:174,phase3a,1,5,"[0.75, 0.625, 0.625, 0.5, 0.5]","[1.0, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]",0.8333333333333334,0.0,stage1
mbpp:184,phase2,2,31,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888]",1.0,0.0,sink_output
mbpp:184,phase3a,2,31,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888]",0.9,0.0,stage1
mbpp:185,phase2,1,55,"[1.0, 1.0, 1.0, 0.8333333333333334, 0.8333333333333334]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9166666666666666,0.0,stage1
mbpp:185,phase3a,1,55,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9375,0.0,stage1
mbpp:188,phase2,0,41,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888]",0.9375,0.0,stage1
mbpp:188,phase3a,0,41,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9375,0.0,stage1
mbpp:193,phase2,2,14,"[0.8888888888888888, 0.7777777777777778, 0.7777777777777778, 0.6666666666666666, 0.6666666666666666]","[1.0, 1.0, 1.0, 0.7142857142857143, 0.7142857142857143]",0.9166666666666666,0.0,stage1
mbpp:193,phase3a,2,14,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.8461538461538461,0.0,stage1
mbpp:194,phase2,0,44,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.625, 0.625, 0.625, 0.625, 0.625]",1.0,0.0,sink_output
mbpp:194,phase3a,0,44,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]",1.0,0.0,checker_approved_proposal
mbpp:197,phase2,0,13,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9166666666666666,0.0,sink_output
mbpp:197,phase3a,0,13,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 0.8333333333333334]",0.875,0.0,checker_approved_proposal
mbpp:210,phase2,0,25,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,checker_approved_proposal
mbpp:210,phase3a,0,25,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,sink_output
mbpp:213,phase2,2,9,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9230769230769231,0.0,stage1
mbpp:213,phase3a,2,9,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,checker_approved_proposal
mbpp:22,phase2,1,15,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 0.875, 1.0]",1.0,0.0,sink_output
mbpp:22,phase3a,1,15,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,sink_output
mbpp:221,phase2,2,45,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,sink_output
mbpp:221,phase3a,2,45,"[0.8888888888888888, 0.7777777777777778, 0.7777777777777778, 0.6666666666666666, 0.6666666666666666]","[1.0, 1.0, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334]",1.0,0.0,sink_output
mbpp:222,phase2,2,55,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9166666666666666,0.0,checker_approved_proposal
mbpp:222,phase3a,2,55,"[0.8571428571428571, 0.7142857142857143, 0.7142857142857143, 0.5714285714285714, 0.5714285714285714]","[1.0, 1.0, 1.0, 0.8, 1.0]",1.0,0.0,checker_approved_proposal
mbpp:225,phase2,1,30,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9411764705882353,0.0,stage1
mbpp:225,phase3a,1,30,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,sink_output
mbpp:230,phase2,2,6,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.75, 0.75, 0.75, 0.75, 0.75]",0.9166666666666666,0.0,stage1
mbpp:230,phase3a,2,6,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.75, 0.75, 0.75, 0.75, 0.75]",1.0,0.0,sink_output
mbpp:234,phase2,0,38,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 0.8888888888888888, 1.0]",1.0,0.0,sink_output
mbpp:234,phase3a,0,38,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.8333333333333334,0.0,stage1
mbpp:249,phase2,1,46,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,sink_output
mbpp:249,phase3a,1,46,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9411764705882353,0.0,stage1
mbpp:258,phase2,2,52,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,checker_approved_proposal
mbpp:258,phase3a,2,52,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9090909090909091,0.0,stage1
mbpp:270,phase2,1,37,"[0.8888888888888888, 0.7777777777777778, 0.7777777777777778, 0.6666666666666666, 0.6666666666666666]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9090909090909091,0.0,stage1
mbpp:270,phase3a,1,37,"[0.8888888888888888, 0.7777777777777778, 0.7777777777777778, 0.6666666666666666, 0.6666666666666666]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9090909090909091,0.0,stage1
mbpp:285,phase2,1,48,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571]",1.0,4.0,stage1_anchor
mbpp:285,phase3a,1,48,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,5.0,sink_output
mbpp:29,phase2,1,28,"[0.875, 0.75, 0.75, 0.625, 0.625]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9,0.0,stage1
mbpp:29,phase3a,1,28,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9333333333333333,0.0,stage1
mbpp:293,phase2,2,43,"[0.875, 0.75, 0.75, 0.625, 0.625]","[0.875, 0.875, 0.875, 0.875, 0.875]",1.0,6.0,stage1_anchor
mbpp:293,phase3a,2,43,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,sink_output
