case_name,dataset,split,id,category,route_family,phenomenon,stage1_success,stage2_success,final_success,stage2_vs_stage1_outcome,stage1_answer_or_code_digest,stage2_answer_or_code_digest,gold,selection_decision,selection_reason,stage1_token_cost,stage2_token_cost,total_token_cost,latency,active_edge_ratio_by_turn,active_node_ratio_by_turn,stage2_memory_records,candidate_count,collapsed_class_count,key_verifier_signal,replay_path,raw_json_path,markdown_path
mmlu_pro_case_1,mmlu_pro,train,mmlu_pro:141,Knowledge,mmlu_option_matrix_calibration,wrong_to_correct_override,0.0,1.0,1.0,better,50f0a12b0cca,da4b9237bacc,OPTION - 2,use_stage2_protocol,v4_4_mmlu_option_matrix_slot_update,0.0004900000000000001,0.041030000000000004,0.041030000000000004,113.94919326715171,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",20.0,6,2,certificate=fd_ccs_contrastive_rescue; accept_blocker=none; support/conflict=1/1; score_margin=1.0; vote_margin=2.0,,/mnt/nvme/projects/R-HAN/outputs/case_studies/final_design_cases_20260517/case_mmlu_pro_mmlu_pro_141_raw.json,/mnt/nvme/projects/R-HAN/outputs/case_studies/final_design_cases_20260517/mmlu_pro_case_1.md
mmlu_pro_case_2,mmlu_pro,test,mmlu_pro:4757,Knowledge,mmlu_option_matrix_calibration,safe_preserve_rejected_challenger,1.0,1.0,1.0,same,7a7fac3a4298,77de68daecd8,OPTION - 3,use_stage1_anchor,v4_4_mmlu_option_matrix_calibration_preserve_anchor_no_certificate,0.00037000000000000005,0.0022,0.0022,136.13755086436868,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",15.0,5,2,certificate=fd_ccs_mmlu_vote_pair_contrast; accept_blocker=reject_low_matrix_coverage; support/conflict=1/1; score_margin=5.0; vote_margin=5.0,,/mnt/nvme/projects/R-HAN/outputs/case_studies/final_design_cases_20260517/case_mmlu_pro_mmlu_pro_4757_raw.json,/mnt/nvme/projects/R-HAN/outputs/case_studies/final_design_cases_20260517/mmlu_pro_case_2.md
mbpp_case_1,mbpp,test,mbpp:640,Code,code_repair,repair_wrong_to_correct,0.0,1.0,1.0,better,41ca8a9757b2,0377ee6a5e26,reference_code_sha1=a36573eb5072c93a; see raw JSON,use_stage2_protocol,v4_4_code_reinsert_recollapse,0.00041000000000000005,0.00489,0.00489,127.40734945610166,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",20.0,7,4,visible_tests 2/3 -> 3/3; failure visible_test_failure -> none,,/mnt/nvme/projects/R-HAN/outputs/case_studies/final_design_cases_20260517/case_mbpp_mbpp_640_raw.json,/mnt/nvme/projects/R-HAN/outputs/case_studies/final_design_cases_20260517/mbpp_case_1.md
mbpp_case_2,mbpp,test,mbpp:920,Code,code_repair,anchor_guard_no_regression,1.0,1.0,1.0,same,bf8ece9bedba,bf8ece9bedba,reference_code_sha1=ca2d6888e430ce5d; see raw JSON,use_stage1_anchor,v4_4_code_bypass_stable_anchor,0.00205,0.00736,0.00736,103.80914738029242,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",20.0,6,3,visible_tests 3/3 -> 3/3; failure none -> none,,/mnt/nvme/projects/R-HAN/outputs/case_studies/final_design_cases_20260517/case_mbpp_mbpp_920_raw.json,/mnt/nvme/projects/R-HAN/outputs/case_studies/final_design_cases_20260517/mbpp_case_2.md
